user_id,amount,merchant,timestamp
user_036,554.57,Myntra,2026-08-27 09:00:22
user_026,838.28,Myntra,2026-08-27 09:00:53
user_035,511.37,Myntra,2026-08-27 09:01:14
user_017,1471.39,Swiggy,2026-08-27 09:02:47
user_046,486.83,Netflix,2026-08-27 09:03:41
user_011,361.63,Netflix,2026-08-27 09:04:42
user_033,603.8,Uber,2026-08-27 09:05:36
user_048,284.69,Myntra,2026-08-27 09:05:36
user_005,1053.8,Zomato,2026-08-27 09:05:50
user_022,570.27,Flipkart,2026-08-27 09:05:58
user_026,616.27,Uber,2026-08-27 09:06:35
user_009,851.71,BigBasket,2026-08-27 09:09:28
user_031,1615.33,Netflix,2026-08-27 09:10:11
user_044,1532.35,Zomato,2026-08-27 09:11:19
user_029,1352.78,Ola,2026-08-27 09:11:28
user_038,716.06,Uber,2026-08-27 09:12:19
user_025,896.37,BigBasket,2026-08-27 09:12:52
user_022,2147.28,BookMyShow,2026-08-27 09:13:20
user_005,968.82,Amazon,2026-08-27 09:13:56
user_009,617.04,Uber,2026-08-27 09:14:47
user_039,767.75,Amazon,2026-08-27 09:16:47
user_042,233.49,Myntra,2026-08-27 09:17:05
user_009,1029.83,BigBasket,2026-08-27 09:17:55
user_034,510.96,Ola,2026-08-27 09:18:30
user_021,629.76,Swiggy,2026-08-27 09:20:20
user_049,342.86,Amazon,2026-08-27 09:21:07
user_034,2526.15,Myntra,2026-08-27 09:21:14
user_028,329.89,Swiggy,2026-08-27 09:23:02
user_032,1197.31,BigBasket,2026-08-27 09:23:23
user_001,52.6,Zomato,2026-08-27 09:24:47
user_017,523.87,Myntra,2026-08-27 09:25:04
user_021,1667.68,Amazon,2026-08-27 09:25:49
user_021,150.7,Netflix,2026-08-27 09:26:57
user_017,891.4,BookMyShow,2026-08-27 09:27:00
user_033,1376.21,BookMyShow,2026-08-27 09:27:38
user_019,453.62,Netflix,2026-08-27 09:27:53
user_036,865.77,Amazon,2026-08-27 09:28:19
user_020,105.41,Myntra,2026-08-27 09:29:52
user_038,793.04,Swiggy,2026-08-27 09:30:07
user_047,1403.65,BookMyShow,2026-08-27 09:30:45
user_004,832.09,Myntra,2026-08-27 09:32:14
user_022,913.2,Uber,2026-08-27 09:33:29
user_043,1417.35,BigBasket,2026-08-27 09:34:21
user_048,294.78,Zomato,2026-08-27 09:35:25
user_007,599.7,BigBasket,2026-08-27 09:35:34
user_039,597.15,Myntra,2026-08-27 09:35:54
user_009,921.51,Swiggy,2026-08-27 09:36:10
user_020,1360.76,BigBasket,2026-08-27 09:36:20
user_050,677.51,Swiggy,2026-08-27 09:36:27
user_027,426.67,Amazon,2026-08-27 09:36:32
user_005,401.31,Swiggy,2026-08-27 09:40:41
user_011,668.58,Netflix,2026-08-27 09:41:46
user_006,2130.16,BigBasket,2026-08-27 09:42:20
user_041,498.77,Myntra,2026-08-27 09:42:39
user_033,637.35,Myntra,2026-08-27 09:44:25
user_016,609.25,Flipkart,2026-08-27 09:44:31
user_041,779.77,Ola,2026-08-27 09:46:39
user_030,1522.16,Uber,2026-08-27 09:47:33
user_042,430.86,Netflix,2026-08-27 09:49:02
user_046,960.19,Swiggy,2026-08-27 09:49:20
user_011,943.55,Zomato,2026-08-27 09:50:27
user_020,78.4,BigBasket,2026-08-27 09:50:37
user_005,789.28,Zomato,2026-08-27 09:51:53
user_001,477.79,Netflix,2026-08-27 09:52:13
user_010,541.76,BookMyShow,2026-08-27 09:53:39
user_035,454.95,Uber,2026-08-27 09:53:58
user_041,957.47,Swiggy,2026-08-27 09:54:38
user_034,1055.12,Swiggy,2026-08-27 09:55:12
user_012,519.42,Swiggy,2026-08-27 09:56:19
user_044,3008.12,Myntra,2026-08-27 09:57:21
user_027,1390.98,Swiggy,2026-08-27 09:57:22
user_036,282.0,Amazon,2026-08-27 09:57:35
user_029,707.13,BookMyShow,2026-08-27 09:58:15
user_044,1262.87,Myntra,2026-08-27 09:58:47
user_038,61.41,Ola,2026-08-27 09:59:12
user_034,209.69,Zomato,2026-08-27 10:02:24
user_039,428.39,Uber,2026-08-27 10:03:14
user_011,340.27,Uber,2026-08-27 10:03:14
user_026,689.44,BookMyShow,2026-08-27 10:04:43
user_026,567.25,Swiggy,2026-08-27 10:06:45
user_025,776.7,Netflix,2026-08-27 10:07:19
user_040,338.31,BigBasket,2026-08-27 10:07:42
user_005,1638.68,Amazon,2026-08-27 10:07:47
user_033,277.13,Zomato,2026-08-27 10:08:01
user_010,495.25,Flipkart,2026-08-27 10:08:58
user_038,1859.89,Netflix,2026-08-27 10:09:25
user_047,267.66,Swiggy,2026-08-27 10:10:22
